economy,YR2015,YR2016,YR2017,YR2018,YR2019
DEU,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,80.9414634146342
DNK,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854,81.2024390243903
ESP,82.8317073170732,83.3292682926829,83.2829268292683,83.4317073170732,83.4853658536585
FRA,82.3219512195122,82.5731707317073,82.5756097560976,82.7243902439024,82.5780487804878
GBR,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756,81.2048780487805
GRC,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488,81.9390243902439
ITA,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.1975609756098
JPN,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146
KOR,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,83.2268292682927
USA,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488
